movie_id,user_id,rate,time,content
26825482,莫挨脑子,1,2022-03-25 20:24:25,看到影片开头 华谊兄弟几个字的时候 我就心里有数了……果然…..
26825482,壹安²,4,2022-03-26 12:35:51,一定要看IMAX一定要看IMAX一定要看IMAX！画面和特效远超预期他M的，最后视觉大高潮我整个喊了有十遍卧槽吧！期待更多的科学学说和未被证实的理论搬上银幕！最后…骂的人…奥斯卡颁奖了马上，在家看看资源不好吗？
26825482,ZeonGin Sou,1,2022-03-26 23:43:12,大概是主创团队致力于讲一个自嗨至极的阴谋论，导致全片的特效竟然没有服务于剧情和刺激，这对于一部灾难片来说就是一场切切实实的灾难。相比起《2012》，人家可是跟各种形式的灾难追逐到最后，才不是偷懒地生造一只外星人搞《异星灾变》那套呢。PS：博物馆当然是永远的神啦！
26825482,夏小時,2,2022-02-03 17:43:26,儘管降低了心理預期，但是還是沒料到這災難片能拍成史詩級災難。能感覺導演應當有致敬駭客帝國的意思，除了紅藍小藥丸的梗反覆出現，還有最終人類與AI的戰爭黑幕。導演功底還是在，幾個月球隕落的大場面都好看極了，雙線剪輯都很乾脆沒有問題。但這劇本認真的嗎？完全就是不顧邏輯的明天之後+駭客帝國+星際效應的一通大雜燴，生搬硬套了災難片的皮和科幻片的核，然後自以為是地煽煽情。前半段我還抱著也許是個正常怪獸片展開的希望，後半段直接在影院裡頭痛。大過年的何苦。
26825482,人民南路壹号,2,2022-02-13 12:22:24,加上最后一段的灾难特效算它勉强及格吧，在导演本人的作品里应当排在倒数的，很多逻辑漏洞和一言难尽的地方，大概经费都燃烧在了最后30分钟，没办法再照顾剧情和其他？还有一个一看就是被金主华谊塞进去的于文文，剧情不需要但是估计经费需要。
26825482,joe_white,4,2022-03-25 16:51:01,这才是在电影院的电影，无视定律太过于牛逼减一颗😂
26825482,宇星天河,2,2022-03-25 12:14:43,【4.0=】建议内宣赶紧收编艾默里奇，筹拍德特里克堡大电影，分形粒子特效用来做疫苗内的纳米机器人简直完美！
26825482,玩儿少,3,2022-03-25 21:58:42,罗兰的正常水平发挥吧，拍了那么多年灾难片了，题材在改变，但是套路却基本一致，这部倒算是大咖云集。如果想去电影院看看牛x的CG技术可以一看。
26825482,胖球,4,2022-03-29 23:14:15,这不还行吗？剧情不算特别无脑，场面确实非常惊艳，就足够了～
26825482,亵渎电影,1,2022-03-30 17:04:17,编剧写这种东西，本意是在写一个粗制滥造的网大吧，不仅时时刻刻在侮辱观众的智商，还侮辱了外星智慧生命。看完这部电影，你就知道什么叫物理是体育老师教的了。
26825482,JoeyLu陆柏宇,1,2022-03-27 17:02:23,难看的一批
26825482,火龙果不耐受者,1,2022-03-26 17:37:02,WTF！什么鬼！烂的一塌糊涂！
26825482,Keith Lee,3,2022-03-25 21:17:34,时间过得真快，不敢相信看罗兰艾默里奇上一部《Midway》已经是两年前的事情了。这次罗兰艾默里奇算是三年磨一剑，回归灾难片。但是全片看下来就觉得很乱，没想到2022年还能看到2012年时期的同类题材，创意不新鲜，特效也就一般，1亿5千万美元的预算制作出了1亿的效果，而且华谊还投资了，还有个华谊旗下的中国女演员带资进组，戏份还挺多，整个就一个无语。这片总结就一句话：肥宅拯救宇宙。
26825482,Henrique Asano,3,2022-03-25 22:06:30,脑洞大开，硬塞中国元素是很过分了，当然还是适合银幕看看的无脑爽片
26825482,安之炼金师,2,2022-02-12 14:46:11,文戏烂到爆
26825482,二月鸟语,1,2022-03-26 22:41:29,整个设定太蠢了，能把高度文明灭了的AI，在电影里蠢的像个蠢货，不管形式和内核都停留在非常陈旧的体系里，没有新意～2.5/10
26825482,老罗Lazzaro,1,2022-04-01 01:07:37,无趣灾难，扯出天际，超越科幻范畴的奇幻剧本，空壳式角色设定充满着各种临时起意和罔顾逻辑。
26825482,✔,1,2022-03-30 22:50:10,不意外，过气灾难片路数。大概是全人类得新冠之后大脑缩小了一圈。✘/0
26825482,大奇特(Grinch),,2022-03-08 17:10:52,感觉导演的电影观念还在原地踏步，没有任何新东西。主要是不接地气，缺乏人性，一切都是可预测的。三个主要角色都太常规，无法引起共情，无法替任何一个角色担忧。也没有令人兴奋的情节，前四十分钟相当无聊，动作戏都很乏味（可能有一些不错的视觉效果，但薄弱的剧情无法与之匹配）。感觉就像把导演以前的公式套在“月球”这个命题里，换汤不换药，为观众带来的仅仅是另一部“世界末日”电影。
26825482,yѧѳ⑉爻,3,2022-04-02 16:35:08,这边是合家欢 唯独男主前妻的现任老公和女主的前夫牺牲 这就有点无语了 其他的跟咱们流浪地球没啥区别 (偶然发现Charlie Plummer参演 不然这个题材分数直接就劝退了
